id_cliente,nombre,edad,genero,ciudad,distrito,fecha_registro,canal_preferido,segmento
C00001,Alexander Angarita,38,Masculino,Lima,Ate,2023-02-16,Web,Regular
C00002,Libardo Lara,27,Masculino,Arequipa,Yanahuara,2022-03-10,Tienda,Regular
C00003,Stiven Iván Ariza Solano,33,Masculino,Cusco,Cusco Cercado,2023-04-26,Tienda,Regular
C00004,Paola Viviana González Ayala,19,Femenino,Trujillo,Huanchaco,2022-01-02,Tienda,Nuevo
C00005,María Mabel Rincón Álvarez,34,Femenino,Piura,Piura Cercado,2025-06-13,Tienda,Ocasional
C00006,Antonio Bladimir Oviedo Cifuentes,37,Masculino,Arequipa,Cayma,2022-05-06,Tienda,Regular
C00007,Nelson López,46,Masculino,Piura,Castilla,2022-07-28,App,Regular
C00008,Isabel Hernández Franco,33,Femenino,Trujillo,Victor Larco,2025-06-12,Tienda,Regular
C00009,María Blanco Morales,22,Femenino,Lima,San Juan de Lurigancho,2024-09-02,App,Regular
C00010,Luis Giovanny Cortés Gaviria,37,Masculino,Lima,La Molina,2025-08-26,Tienda,Ocasional
C00011,Alfonso Germán Carvajal Rincón,31,Masculino,Cusco,Wanchaq,2023-06-30,Tienda,Premium
C00012,Elkin Ospina Riascos,27,Masculino,Lima,Villa El Salvador,2023-01-10,App,Regular
C00013,Fabián Castañeda,59,Masculino,Arequipa,Cerro Colorado,2023-02-28,Tienda,Regular
C00014,Yeferson Guzmán,35,Masculino,Piura,Veintiseis de Octubre,2024-04-08,Web,Regular
C00015,Clara Osorio,73,Femenino,Piura,Castilla,2024-09-29,App,Nuevo
C00016,Daniela Martha Rivas,34,Femenino,Arequipa,Yanahuara,2023-07-06,App,Regular
C00017,Gladys Edith Olaya Gonzáles,25,Femenino,Trujillo,Victor Larco,2024-03-14,Tienda,Premium
C00018,Julio Camacho Álvarez,35,Masculino,Cusco,San Jeronimo,2023-09-09,App,Nuevo
C00019,Yamile Alejandra Ramírez Roa,28,Femenino,Lima,Villa El Salvador,2022-01-25,Tienda,Regular
C00020,María Hoyos,47,Femenino,Cusco,San Sebastian,2022-07-05,Tienda,Nuevo
C00021,Rodrigo Edilberto Mosquera Ramírez,32,Masculino,Lima,San Juan de Lurigancho,2024-06-02,Tienda,Premium
C00022,Cristina Jenny Zapata Mejía,38,Femenino,Cusco,San Sebastian,2024-04-28,Web,Premium
C00023,Albeiro Ruiz,48,Masculino,Trujillo,Huanchaco,2023-05-29,App,Ocasional
C00024,Marina Becerra,37,Femenino,Piura,Veintiseis de Octubre,2024-11-05,Web,Nuevo
C00025,Daniel Paz Parada,41,Masculino,Arequipa,Cercado,2022-09-16,Tienda,Premium
C00026,Heidy Camila Rentería Arias,31,Femenino,Lima,San Isidro,2023-01-31,App,Regular
C00027,Omar Camilo Cardona,49,Masculino,Cusco,San Sebastian,2022-08-13,Tienda,Ocasional
C00028,Luz Cardona,58,Femenino,Arequipa,Paucarpata,2025-10-09,App,Premium
C00029,Ricardo Ramírez,36,Masculino,Arequipa,Cerro Colorado,2025-11-17,Tienda,Ocasional
C00030,Edwin Espinosa,27,Masculino,Cusco,San Jeronimo,2023-04-21,Tienda,Premium
C00031,Nelly Acevedo Sánchez,40,Femenino,Lima,Surco,2022-12-07,Tienda,Nuevo
C00032,Vanessa Córdoba Carmona,59,Femenino,Lima,San Borja,2023-07-01,App,Regular
C00033,Johanna Yéssica Vásquez Ortega,36,Femenino,Lima,San Isidro,2024-06-07,App,Nuevo
C00034,Yina Betty Mora,56,Femenino,Lima,La Molina,2022-05-09,Web,Ocasional
C00035,Camilo Pérez,28,Masculino,Lima,Ate,2022-06-25,Tienda,Nuevo
C00036,Socorro Ester Suárez,36,Femenino,Lima,Surco,2024-07-23,App,Ocasional
C00037,Jhon Carlos Arévalo Rivera,51,Masculino,Lima,Ate,2022-02-27,Tienda,Ocasional
C00038,Elena García,42,Femenino,Lima,San Borja,2024-12-03,App,Regular
C00039,Paula Betancur Garcés,33,Femenino,Arequipa,Cayma,2024-09-03,Web,Regular
C00040,Rocío Valencia,60,Femenino,Trujillo,La Esperanza,2024-04-17,Tienda,Ocasional
C00041,Daniel Caro Zapata,38,Masculino,Lima,Ate,2024-05-09,App,Regular
C00042,Alexandra Yamile Sánchez Delgado,40,Femenino,Lima,San Juan de Lurigancho,2022-07-18,Tienda,Premium
C00043,Mercedes Ángela Moreno Amaya,35,Femenino,Piura,Piura Cercado,2024-05-14,App,Ocasional
C00044,José Armando Pérez Jaimes,28,Masculino,Lima,Villa El Salvador,2024-07-08,Tienda,Regular
C00045,Daniel Tovar,41,Masculino,Piura,Castilla,2022-07-06,Tienda,Nuevo
C00046,Jairo Pedro Rodríguez,54,Masculino,Cusco,Cusco Cercado,2025-08-04,App,Ocasional
C00047,Ingrid Beatriz Arteaga,37,Femenino,Lima,Miraflores,2024-10-17,Tienda,Nuevo
C00048,Álvaro Juan Ortiz,53,Masculino,Arequipa,Paucarpata,2025-11-16,Tienda,Regular
C00049,Oswaldo Eduardo Díaz Pérez,28,Masculino,Cusco,Cusco Cercado,2023-11-16,Tienda,Ocasional
C00050,Tatiana Sara Guerrero Correa,41,Femenino,Lima,La Molina,2024-03-24,App,Nuevo
C00051,Beatriz Marín Silva,46,Femenino,Cusco,San Sebastian,2023-08-17,Tienda,Regular
C00052,Julia Miranda Moreno,45,Femenino,Lima,La Molina,2025-03-31,Web,Nuevo
C00053,Estella Jaimes,36,Femenino,Trujillo,La Esperanza,2022-04-17,Tienda,Nuevo
C00054,Luisa Elvira Sanabria Díaz,18,Femenino,Lima,Los Olivos,2025-04-19,App,Regular
C00055,Gloria Sánchez,37,Femenino,Lima,Comas,2025-11-23,Tienda,Regular
C00056,Luis Esteban Cortés,49,Masculino,Cusco,Santiago,2023-04-09,Tienda,Regular
C00057,Julián Julio Camacho,46,Masculino,Lima,Comas,2023-07-02,Tienda,Premium
C00058,Luz Marcela Pedraza,37,Femenino,Lima,Ate,2024-01-29,Tienda,Premium
C00059,Luz María Mosquera,55,Femenino,Piura,Catacaos,2022-10-09,Tienda,Regular
C00060,Armando Luis Álvarez,26,Masculino,Lima,Miraflores,2024-10-07,Web,Nuevo
C00061,Jorge Álvarez,43,Masculino,Cusco,San Sebastian,2024-10-03,Tienda,Regular
C00062,Antonio Rodríguez Gaviria,58,Masculino,Lima,Villa El Salvador,2023-11-25,Tienda,Ocasional
C00063,Adriana Rodríguez López,57,Femenino,Cusco,Santiago,2023-03-20,App,Ocasional
C00064,Lucía López,62,Femenino,Piura,Catacaos,2024-03-30,App,Nuevo
C00065,Cecilia Cárdenas Pineda,24,Femenino,Lima,San Isidro,2023-09-29,Tienda,Nuevo
C00066,Lucila Ruiz,34,Femenino,Arequipa,Cercado,2022-09-25,App,Nuevo
C00067,Stella Fernanda Gil,40,Femenino,Lima,Ate,2022-07-26,Web,Regular
C00068,Nubia Prieto,48,Femenino,Piura,Catacaos,2022-08-12,Tienda,Regular
C00069,Jhon Erazo Mosquera,24,Masculino,Lima,Ate,2022-02-18,Web,Ocasional
C00070,Samuel Jorge Valencia Bonilla,42,Masculino,Trujillo,La Esperanza,2022-11-27,Tienda,Regular
C00071,Jesús Guerrero,28,Masculino,Lima,Ate,2025-07-30,Tienda,Regular
C00072,Luisa Herrera,37,Femenino,Lima,Comas,2023-01-22,App,Regular
C00073,Humberto González,19,Masculino,Lima,La Molina,2024-05-20,App,Regular
C00074,Luz Hernández,46,Femenino,Trujillo,Trujillo Cercado,2025-07-26,Web,Nuevo
C00075,Orlando Quiroz Suárez,18,Masculino,Lima,San Juan de Lurigancho,2022-02-09,Web,Ocasional
C00076,Nancy Gloria Flórez Moreno,43,Femenino,Cusco,San Jeronimo,2024-11-20,Tienda,Regular
C00077,Álvaro Sergio Díaz Gómez,23,Masculino,Arequipa,Cerro Colorado,2022-06-09,Web,Premium
C00078,Hilda Ingrid Torres Rodríguez,29,Femenino,Cusco,Santiago,2024-07-22,Web,Regular
C00079,Camilo Agustín Hernández Pineda,45,Masculino,Lima,San Juan de Lurigancho,2022-11-29,Web,Regular
C00080,Mireya Cortés,42,Femenino,Lima,Miraflores,2024-10-14,Web,Nuevo
C00081,Enrique Guzmán Villamizar,23,Masculino,Trujillo,Huanchaco,2024-09-02,Web,Premium
C00082,Sofía Rodríguez,18,Femenino,Lima,San Isidro,2022-01-31,Tienda,Regular
C00083,Felipe Norberto Duarte,41,Masculino,Lima,Miraflores,2022-07-30,Tienda,Regular
C00084,Edilberto Jeison Castillo,41,Masculino,Lima,Comas,2022-01-26,App,Ocasional
C00085,Jeferson Moreno Salcedo,20,Masculino,Lima,Miraflores,2022-12-16,Web,Regular
C00086,Ramiro Rivera Cruz,60,Masculino,Lima,Miraflores,2022-05-05,Tienda,Nuevo
C00087,Iván Felipe Angulo Murillo,49,Masculino,Lima,San Borja,2023-02-06,App,Premium
C00088,Carlos Camilo Reyes,20,Masculino,Trujillo,El Porvenir,2022-01-02,App,Premium
C00089,Hermes Aguilar,49,Masculino,Lima,San Juan de Lurigancho,2023-04-03,Tienda,Regular
C00090,Catalina Angélica García Arias,22,Femenino,Arequipa,Cercado,2024-06-19,Tienda,Nuevo
C00091,Patricia Mena Molano,57,Femenino,Arequipa,Paucarpata,2022-05-10,Tienda,Regular
C00092,Sebastián Gaitán,58,Masculino,Cusco,Santiago,2023-10-24,Tienda,Regular
C00093,Fabián Arteaga Flórez,59,Masculino,Lima,Villa El Salvador,2023-03-25,Tienda,Regular
C00094,Alix Luz Sánchez,23,Femenino,Lima,San Borja,2023-08-08,Web,Regular
C00095,Enrique Fernando Gómez Vega,34,Masculino,Arequipa,Paucarpata,2024-04-04,Tienda,Regular
C00096,Carlos Jorge Ríos,23,Masculino,Lima,La Molina,2023-12-30,App,Regular
C00097,Patricia Giraldo Obando,26,Femenino,Arequipa,Cercado,2022-07-07,App,Regular
C00098,Estela Jaimes,63,Femenino,Trujillo,Victor Larco,2025-02-19,Tienda,Ocasional
C00099,Javier Hugo Castaño Pardo,40,Masculino,Lima,La Molina,2024-03-11,Tienda,Ocasional
C00100,Nelson José Álvarez,35,Masculino,Piura,Catacaos,2023-03-01,Tienda,Regular
C00101,Carlos Vicente Molina,36,Masculino,Arequipa,Yanahuara,2024-11-21,Tienda,Regular
C00102,Marisol Martínez,28,Femenino,Cusco,San Sebastian,2024-05-13,Web,Ocasional
C00103,Alberto Sánchez León,32,Masculino,Arequipa,Cercado,2025-02-24,Web,Ocasional
C00104,Luis Alexander González,44,Masculino,Lima,Los Olivos,2023-07-20,Tienda,Premium
C00105,Eduardo Garzón,34,Masculino,Arequipa,Cerro Colorado,2022-08-26,Web,Regular
C00106,Carolina Chávez,34,Femenino,Lima,Surco,2024-04-12,Tienda,Ocasional
C00107,Jaime Vargas,36,Masculino,Arequipa,Cerro Colorado,2025-11-09,Tienda,Nuevo
C00108,Héctor Cárdenas Orozco,39,Masculino,Lima,Los Olivos,2023-03-22,Web,Regular
C00109,Andrés Obando,36,Masculino,Arequipa,Cayma,2023-05-26,Web,Nuevo
C00110,Ligia Marcela Durán Pérez,32,Femenino,Trujillo,Trujillo Cercado,2024-10-22,App,Regular
C00111,Johana Claudia Fajardo Vanegas,33,Femenino,Lima,La Molina,2023-01-12,Tienda,Nuevo
C00112,Diego Juan Arévalo Torres,44,Masculino,Trujillo,La Esperanza,2024-09-11,Tienda,Regular
C00113,Lizeth Romero Serrano,34,Femenino,Piura,Veintiseis de Octubre,2022-12-26,App,Regular
C00114,Sandra Inés Ospina Galvis,36,Femenino,Trujillo,Trujillo Cercado,2024-11-15,Web,Regular
C00115,Fernando Gerardo Ruiz Sepúlveda,30,Masculino,Lima,Los Olivos,2023-05-19,Tienda,Regular
C00116,Marcela Luisa Ortiz Quintero,37,Femenino,Lima,Ate,2023-06-17,Tienda,Regular
C00117,Julio Luis Jiménez,44,Masculino,Lima,San Isidro,2025-03-27,Web,Ocasional
C00118,Valentina Alejandra Caicedo Valencia,18,Femenino,Piura,Piura Cercado,2025-01-11,Tienda,Regular
C00119,Claudia Ruth Caballero Gamboa,40,Femenino,Cusco,San Jeronimo,2022-09-25,Tienda,Regular
C00120,Laura Camila Martínez,46,Femenino,Arequipa,Cercado,2025-02-16,App,Ocasional
C00121,Julieth María Velásquez Vargas,38,Femenino,Lima,San Borja,2024-02-16,Tienda,Regular
C00122,Fabián Ávila Roa,31,Masculino,Piura,Castilla,2023-01-27,Tienda,Nuevo
C00123,Manuela Daniela Rodríguez Uribe,50,Femenino,Piura,Catacaos,2024-10-19,App,Premium
C00124,Sofía Valderrama,50,Femenino,Cusco,San Sebastian,2025-03-21,App,Regular
C00125,José Rojas Cruz,27,Masculino,Lima,La Molina,2023-12-28,App,Nuevo
C00126,Mercedes Arias Cortés,44,Femenino,Piura,Piura Cercado,2023-12-25,Tienda,Ocasional
C00127,Ángel José López,41,Masculino,Lima,Surco,2022-06-20,Web,Premium
C00128,Yury Valderrama Rojas,18,Femenino,Arequipa,Paucarpata,2023-02-06,Web,Regular
C00129,Hernando Andrés Guerrero,42,Masculino,Trujillo,La Esperanza,2025-02-12,Web,Ocasional
C00130,Luis Fernando Guerrero,21,Masculino,Lima,Surco,2023-01-17,App,Nuevo
C00131,Esperanza Rocío Moreno,38,Femenino,Lima,Villa El Salvador,2022-12-28,Web,Regular
C00132,Sofía Carolina Romero Calderón,20,Femenino,Trujillo,La Esperanza,2023-09-10,Tienda,Nuevo
C00133,Mauricio Valencia Vargas,44,Masculino,Arequipa,Cerro Colorado,2022-09-11,Tienda,Regular
C00134,Carlos Jairo Morales Perea,66,Masculino,Lima,Comas,2022-02-08,Web,Ocasional
C00135,Diana Marcela Sepúlveda Castillo,30,Femenino,Trujillo,Victor Larco,2025-02-10,App,Nuevo
C00136,Dario Nicolás Alvarado,27,Masculino,Lima,Los Olivos,2025-03-14,App,Regular
C00137,Jackeline Garzón Márquez,19,Femenino,Arequipa,Cercado,2022-06-19,Tienda,Premium
C00138,Mauricio Durán Mosquera,26,Masculino,Lima,San Borja,2022-08-28,Web,Premium
C00139,Wilman Alvarado,51,Masculino,Cusco,Wanchaq,2025-11-24,Web,Premium
C00140,Lizeth Dahiana Salamanca,39,Femenino,Cusco,San Jeronimo,2023-02-23,Tienda,Ocasional
C00141,Víctor Uriel Gonzáles Gómez,18,Masculino,Lima,Comas,2023-06-26,Tienda,Premium
C00142,Alberto Alfonso Silva,35,Masculino,Lima,Miraflores,2023-04-07,App,Premium
C00143,Johan Fernando Arboleda,33,Masculino,Cusco,San Sebastian,2022-03-26,App,Premium
C00144,Carlos Pedro Zuluaga Morales,45,Masculino,Lima,San Isidro,2025-01-12,Web,Regular
C00145,Mónica Juliana Díaz Calderón,32,Femenino,Lima,Ate,2023-09-20,Tienda,Regular
C00146,Juliana Patricia Ayala,43,Femenino,Lima,Miraflores,2023-11-25,Tienda,Regular
C00147,Yenny Leal,37,Femenino,Cusco,Wanchaq,2025-01-30,Tienda,Ocasional
C00148,Dary Ibarra Díaz,18,Femenino,Trujillo,Trujillo Cercado,2025-04-29,Web,Regular
C00149,Samir Aguirre Hernández,25,Masculino,Cusco,Cusco Cercado,2022-08-11,Tienda,Ocasional
C00150,Juan Andrés Díaz,54,Masculino,Lima,Surco,2025-03-21,Web,Nuevo
C00151,Camilo Edwin Barreto,42,Masculino,Lima,La Molina,2022-12-31,Web,Regular
C00152,Milena Molina,40,Femenino,Lima,Comas,2024-09-16,Tienda,Ocasional
C00153,Cristina Cano,38,Femenino,Lima,Ate,2023-05-27,App,Nuevo
C00154,Norma Patricia Palacios,18,Femenino,Trujillo,Huanchaco,2025-03-18,Tienda,Regular
C00155,María Luz Orozco Rueda,35,Femenino,Cusco,Santiago,2022-04-26,App,Regular
C00156,Enrique Gómez Mora,43,Masculino,Piura,Castilla,2025-09-25,Tienda,Regular
C00157,Alejandro Mejía,47,Masculino,Lima,Los Olivos,2025-02-21,Tienda,Regular
C00158,Paola Vanessa Zapata,51,Femenino,Piura,Catacaos,2022-02-07,Tienda,Regular
C00159,Carlos Ángel Salazar,43,Masculino,Trujillo,Trujillo Cercado,2022-01-07,Web,Nuevo
C00160,Miguel Manuel Rojas Álvarez,45,Masculino,Lima,Ate,2024-10-01,Tienda,Regular
C00161,Fidel Julio Ramos Cuéllar,31,Masculino,Cusco,San Sebastian,2024-04-09,Tienda,Regular
C00162,Eliana Luz García,55,Femenino,Cusco,Wanchaq,2022-04-26,Tienda,Regular
C00163,Luis Alberto Mejía,27,Masculino,Lima,San Borja,2025-09-25,Tienda,Nuevo
C00164,María Nayibe Jaimes Caro,42,Femenino,Lima,Miraflores,2023-03-22,Tienda,Regular
C00165,Isabel Morales Rodríguez,35,Femenino,Lima,Villa El Salvador,2022-08-03,Web,Regular
C00166,Vicente Jonathan Reyes Hernández,53,Masculino,Arequipa,Yanahuara,2024-06-24,Web,Regular
C00167,Blanca Dolly Cárdenas,37,Femenino,Cusco,Santiago,2022-06-14,Web,Regular
C00168,Tulio Camacho,47,Masculino,Lima,Ate,2023-01-07,Tienda,Premium
C00169,Henry Parada García,30,Masculino,Cusco,Cusco Cercado,2024-10-11,App,Nuevo
C00170,Carolina Rosario Silva Contreras,53,Femenino,Lima,Villa El Salvador,2024-11-22,App,Ocasional
C00171,Silvia Jiménez,50,Femenino,Lima,San Juan de Lurigancho,2023-08-14,Tienda,Regular
C00172,William García,57,Masculino,Trujillo,Huanchaco,2025-02-18,App,Nuevo
C00173,Julio Jhon Franco Córdoba,35,Masculino,Cusco,Wanchaq,2023-06-05,Tienda,Regular
C00174,Mario Ángel Sánchez Ruiz,49,Masculino,Lima,Villa El Salvador,2025-02-09,Tienda,Premium
C00175,Luis López,47,Masculino,Cusco,San Sebastian,2023-10-07,Tienda,Premium
C00176,María Gómez Manrique,53,Femenino,Lima,San Juan de Lurigancho,2023-08-14,App,Nuevo
C00177,Arturo Zuluaga,48,Masculino,Arequipa,Cercado,2022-12-17,Web,Ocasional
C00178,Clara Suárez Ortega,41,Femenino,Cusco,Cusco Cercado,2023-05-06,App,Regular
C00179,Clara Correa Vargas,53,Femenino,Lima,Surco,2025-08-31,Tienda,Premium
C00180,Rocío Estela Guerrero,18,Femenino,Cusco,San Jeronimo,2024-02-26,Tienda,Nuevo
C00181,Antonio Juan Díaz González,35,Masculino,Arequipa,Cayma,2023-04-25,Tienda,Premium
C00182,Elizabeth Daniela Rodríguez Garcés,29,Femenino,Cusco,Wanchaq,2025-06-21,Tienda,Ocasional
C00183,Dora Mónica Serna Jiménez,53,Femenino,Piura,Catacaos,2025-02-27,App,Regular
C00184,Fernando Mejía Galvis,37,Masculino,Trujillo,Huanchaco,2024-08-26,Web,Ocasional
C00185,Javier Polo,48,Masculino,Piura,Catacaos,2024-12-08,Web,Regular
C00186,Ismael Luis Arias,41,Masculino,Lima,Ate,2022-03-02,Tienda,Regular
C00187,Margarita Yaneth Cruz,52,Femenino,Trujillo,Huanchaco,2023-03-12,Web,Nuevo
C00188,Yenny Cifuentes,49,Femenino,Piura,Piura Cercado,2025-03-23,App,Regular
C00189,Diego José Ramírez Muñoz,39,Masculino,Lima,Ate,2023-11-23,Tienda,Ocasional
C00190,Lina Aida García,45,Femenino,Lima,Comas,2022-04-27,App,Regular
C00191,Jimmy José Toro,39,Masculino,Lima,Ate,2024-12-06,Web,Regular
C00192,Bernardo Caicedo,34,Masculino,Lima,Los Olivos,2022-11-13,Tienda,Nuevo
C00193,Gloria Nieto,45,Femenino,Lima,Ate,2022-02-10,App,Regular
C00194,Marisol Rocío Betancur Yepes,58,Femenino,Lima,San Isidro,2023-10-17,Tienda,Premium
C00195,Camila Nayibe Gómez,49,Femenino,Cusco,San Jeronimo,2022-12-30,Tienda,Nuevo
C00196,Juan Martínez,30,Masculino,Trujillo,Victor Larco,2024-10-17,Web,Regular
C00197,María Natalia Gómez,49,Femenino,Lima,Surco,2023-03-25,Web,Nuevo
C00198,María Bermúdez Vásquez,29,Femenino,Cusco,Santiago,2024-12-08,App,Regular
C00199,Esther María Romero,18,Femenino,Arequipa,Cercado,2022-05-18,Tienda,Premium
C00200,Miguel Antonio Rodríguez Flórez,27,Masculino,Piura,Castilla,2024-04-23,Tienda,Regular
C00201,Inés Trujillo,41,Femenino,Trujillo,Trujillo Cercado,2024-11-13,Tienda,Regular
C00202,Paola Blanca Mora,21,Femenino,Lima,Surco,2025-08-15,App,Regular
C00203,Diego Castrillón Hoyos,41,Masculino,Piura,Veintiseis de Octubre,2023-04-24,Tienda,Regular
C00204,Luz Carolina Cano Hernández,53,Femenino,Arequipa,Cerro Colorado,2024-02-14,App,Ocasional
C00205,Emilio Felipe Aguirre,38,Masculino,Lima,San Borja,2024-05-29,Tienda,Ocasional
C00206,Andrea Caicedo Hernández,44,Femenino,Lima,Ate,2023-02-22,Tienda,Ocasional
C00207,María Doris Méndez Sandoval,35,Femenino,Lima,San Borja,2024-04-14,Tienda,Premium
C00208,Rocío Mosquera Villamizar,18,Femenino,Lima,Comas,2024-07-01,Tienda,Ocasional
C00209,Camila Moreno,42,Femenino,Arequipa,Cercado,2024-03-17,App,Regular
C00210,Samuel Jhonny Hurtado Escobar,30,Masculino,Arequipa,Cayma,2022-07-20,App,Ocasional
C00211,Jesús Sebastián Cardozo,42,Masculino,Piura,Catacaos,2024-06-11,App,Regular
C00212,Aurora Díaz Cruz,18,Femenino,Trujillo,La Esperanza,2025-07-08,Tienda,Regular
C00213,Antonio Ortega,41,Masculino,Trujillo,Victor Larco,2022-06-14,App,Premium
C00214,Ricardo César Durán,45,Masculino,Trujillo,Trujillo Cercado,2022-06-11,Tienda,Regular
C00215,María Rodríguez,55,Femenino,Lima,Villa El Salvador,2023-07-25,Tienda,Ocasional
C00216,Patricia Ballesteros Rodríguez,41,Femenino,Lima,Miraflores,2025-05-22,Tienda,Premium
C00217,Roger Flórez Pineda,23,Masculino,Trujillo,La Esperanza,2024-02-13,Tienda,Ocasional
C00218,Margarita Luz Roa Marín,39,Femenino,Piura,Castilla,2023-10-21,Tienda,Ocasional
C00219,Harold Posada,18,Masculino,Lima,Comas,2024-11-30,Tienda,Ocasional
C00220,Hugo Wilson Serrano Vargas,18,Masculino,Lima,San Isidro,2023-02-14,Tienda,Regular
C00221,Felipe Ramiro Figueroa López,42,Masculino,Lima,San Borja,2023-12-17,Web,Premium
C00222,Alberto Villamil,46,Masculino,Lima,Los Olivos,2024-01-17,Tienda,Nuevo
C00223,Esteban Ochoa Castillo,41,Masculino,Lima,San Juan de Lurigancho,2024-05-11,Tienda,Regular
C00224,Ana López Flórez,53,Femenino,Lima,San Juan de Lurigancho,2025-09-25,App,Ocasional
C00225,Paula Medina Garzón,49,Femenino,Trujillo,La Esperanza,2024-01-02,App,Regular
C00226,Christian Montoya Rivera,46,Masculino,Piura,Catacaos,2024-10-23,App,Nuevo
C00227,Javier Caballero Vargas,19,Masculino,Arequipa,Cayma,2024-11-24,Web,Regular
C00228,José Beltrán Ramírez,30,Masculino,Trujillo,Victor Larco,2023-12-09,App,Premium
C00229,Estela Mary Hernández,41,Femenino,Lima,San Juan de Lurigancho,2023-08-23,Tienda,Premium
C00230,Yolanda Flor Ávila Daza,21,Femenino,Cusco,Cusco Cercado,2024-11-15,Tienda,Regular
C00231,Julio Perea Torres,24,Masculino,Lima,Miraflores,2022-04-30,Tienda,Ocasional
C00232,Yenny Serrano Ávila,20,Femenino,Piura,Piura Cercado,2022-05-23,Tienda,Nuevo
C00233,Albeiro Romero Giraldo,31,Masculino,Arequipa,Cerro Colorado,2023-11-07,Web,Nuevo
C00234,José Cristian Giraldo,41,Masculino,Trujillo,Huanchaco,2022-01-25,Tienda,Nuevo
C00235,Alirio Meneses Velásquez,53,Masculino,Trujillo,Victor Larco,2025-01-09,Web,Nuevo
C00236,Javier Alfredo Bohórquez González,39,Masculino,Cusco,Santiago,2025-02-01,App,Ocasional
C00237,Juan Edwin Ortega,34,Masculino,Trujillo,Huanchaco,2022-10-13,Tienda,Regular
C00238,Marina Diana Gómez,26,Femenino,Piura,Piura Cercado,2023-06-13,App,Nuevo
C00239,Rigoberto González,54,Masculino,Lima,Surco,2025-07-24,Tienda,Nuevo
C00240,Luz Karen Acevedo Chacón,42,Femenino,Arequipa,Paucarpata,2025-04-27,Tienda,Regular
C00241,Laura Ruiz,47,Femenino,Lima,Los Olivos,2025-06-20,Tienda,Ocasional
C00242,Luis Martínez,26,Masculino,Lima,Comas,2024-08-20,Web,Regular
C00243,Álvaro Cruz Peña,24,Masculino,Lima,San Isidro,2024-03-16,Tienda,Premium
C00244,Arley Ramírez,42,Masculino,Arequipa,Cercado,2022-07-11,Tienda,Premium
C00245,Carolina Andrea García Moreno,40,Femenino,Lima,Ate,2022-08-29,Tienda,Regular
C00246,Felipe Edison López Molano,53,Masculino,Lima,Ate,2022-04-09,Web,Premium
C00247,Henry Carlos Rodríguez Restrepo,31,Masculino,Lima,Miraflores,2025-03-19,Tienda,Regular
C00248,Inés Martínez,36,Femenino,Lima,San Isidro,2025-03-03,Tienda,Regular
